年份,開始日期,結束日期,月份,活動名稱,類型,人物,團體／關聯,本體／擦邊,全團,人次
2018,2018-02-03,2018-02-03,2,BanG Dream! 少女樂團派對！2018聲優見面會 Poppin'Party,FMT,愛美、大塚紗英、西本里美,Poppin'Party,本體,否,3
2018,2018-02-03,2018-02-03,2,《BanG Dream! 少女樂團派對》Poppin'Party 聲優街頭生放送,公開生放送,愛美、大塚紗英、西本里美,Poppin'Party,本體,否,3
2018,2018-04-07,2018-04-08,4,THE IDOLM@STER CINDERELLA GIRLS Initial Mess@ge,LIVE,大橋彩香,Poppin'Party／山吹沙綾,擦邊,否,1
2018,2018-05-19,2018-05-19,5,PF28 金元壽子 Talkshow／特別來賓簽名抽獎,Talk／簽名,金元壽子,Afterglow／羽澤鶇,擦邊,否,1
2018,2018-08-18,2018-08-18,8,2018少女樂團派對! 聲優見面會,FMT,前島亞美、豐田萌繪、工藤晴香、櫻川惠,"Pastel＊Palettes、Hello, Happy World!、Roselia",本體,否,4
2018,2018-09-30,2018-09-30,9,KING SUPER LIVE 2018 in 台灣,LIVE／音樂祭,上坂堇,Pastel＊Palettes／白鷺千聖,擦邊,否,1
2018,2018-12-15,2018-12-15,12,LisAni！LIVE TAIWAN 2018 SATURDAY STAGE,LIVE／音樂祭,三森鈴子,Glitter☆Green／牛込ゆり,擦邊,否,1
2018,2018-12-16,2018-12-16,12,MIMORI SUZUKO 5th Anniversary Live「five tones」in 台灣,LIVE,三森鈴子,Glitter☆Green／牛込ゆり,擦邊,否,1
2019,2019-01-21,2019-01-21,1,相羽亞衣奈 2019聲優見面會,FMT,相羽あいな,Roselia／湊友希那,擦邊,否,1
2019,2019-08-04,2019-08-04,8,2019漫畫博覽會 Netflix「動漫魂大爆發！」聲優舞台,舞台活動,上坂堇,Pastel＊Palettes／白鷺千聖,擦邊,否,1
2023,2023-07-29,2023-07-29,7,《SPY×FAMILY 間諜家家酒》聲優見面會,FMT,加藤英美里,Afterglow/上原緋瑪麗,擦邊,否,1
2023,2023-11-19,2023-11-19,11,BanG Dream! 少女樂團派對 6週年特別活動 2023聲優見面會,FMT,愛美、相羽あいな、進藤あまね,Poppin'Party、Roselia、Morfonica,本體,否,3
2024,2024-03-23,2024-03-23,3,RAISE A SUILEN ASIA TOUR 2024 IN TAIPEI,LIVE,Raychell、紡木吏佐、夏芽、倉知玲鳳、小原莉子,RAISE A SUILEN,本體,是,5
2024,2024-11-11,2024-11-11,11,Sumire Uesaka Fan Meeting in Taipei,FMT,上坂堇,Pastel＊Palettes／白鷺千聖,擦邊,否,1
2025,2025-02-08,2025-02-08,2,《金肉人 完美超人始祖篇》聲優上坂堇見面會,FMT,上坂堇,Pastel＊Palettes／白鷺千聖,擦邊,否,1
2025,2025-02-08,2025-02-08,2,Bushiroad EXPO 2025 in Taipei《BanG Dream!》系列聲優活動,EXPO／Talk／手渡／上映會,佐佐木李子、渡瀨結月、立石凜,Ave Mujica、MyGO!!!!!,本體,否,3
2025,2025-02-09,2025-02-09,2,Bushiroad EXPO 2025 in Taipei 聲優渡瀨結月、立石凛簽名會,簽名會,渡瀨結月、立石凜,Ave Mujica、MyGO!!!!!,本體,否,2
2025,2025-02-15,2025-02-15,2,BanG Dream! 少女樂團派對 7週年紀念特別活動 MyGO!!!!! 2025聲優見面會,FMT,青木陽菜、小日向美香、林鼓子,MyGO!!!!!,本體,否,3
2025,2025-04-20,2025-04-20,4,2025 霓虹綠洲音樂祭 米澤茜舞台演出＆見面會,LIVE／FMT,米澤茜,Ave Mujica／祐天寺若麥,擦邊,否,1
2025,2025-05-24,2025-05-24,5,ANISAMA WORLD 2025 in TAOYUAN,LIVE／音樂祭,Raychell、紡木吏佐、夏芽、倉知玲鳳、小原莉子,RAISE A SUILEN,本體,是,5
2025,2025-06-21,2025-06-21,6,AniStar 特別企劃｜小澤亞李 台灣粉絲見面會＆簽名會,FMT／簽名,小澤亞李,Pastel＊Palettes／冰川日菜,擦邊,否,1
2025,2025-09-29,2025-09-29,9,三澤紗千香 Fan Meeting in Taiwan - 好想去台灣！-,FMT,三澤紗千香,Afterglow／青葉摩卡,擦邊,否,1
2025,2025-11-09,2025-11-09,11,"AKANE YONEZAWA ""Numb show?"" TOUR -Taipei-",LIVE,米澤茜,Ave Mujica／祐天寺若麥,擦邊,否,1
2025,2025-11-22,2025-11-23,11,リスアニ！LIVE TAIPEI 2025,LIVE／音樂祭,愛美、伊藤美來,"Poppin'Party、Hello, Happy World!",擦邊,否,2
2025,2025-12-10,2025-12-10,12,《劇場版 BanG Dream! It’s MyGO!!!!! 前篇》聲優來台特別場（A／B部）,電影特別場／Talk,立石凜、青木陽菜,MyGO!!!!!,本體,否,2
2025,2025-12-26,2025-12-26,12,Roselia ASIA TOUR「Neuweltfahrt」台北公演,LIVE,相羽あいな、工藤晴香、中島由貴、櫻川惠、志崎樺音,Roselia,本體,是,5
2026,2026-01-17,2026-01-17,1,VOICE STAGE Vol.1 小原莉子台灣粉絲見面會,FMT,小原莉子,RAISE A SUILEN／朝日六花,擦邊,否,1
2026,2026-02-06,2026-02-06,2,ATC Special Stage 工藤晴香聲優見面會,FMT,工藤晴香,Roselia／冰川紗夜,擦邊,否,1
2026,2026-02-07,2026-02-07,2,ATC Special Stage 伊藤美來聲優見面會,FMT,伊藤美來,"Hello, Happy World!／弦卷心",擦邊,否,1
2026,2026-02-08,2026-02-09,2,戀上換裝娃娃 直田姬奈聲優見面親遞會,FMT／親遞會,直田姬奈,Ave Mujica／若葉睦,擦邊,否,1
2026,2026-03-21,2026-03-21,3,前島亞美粉絲見面會 2026 in 台北,FMT,前島亞美,Pastel＊Palettes／丸山彩,擦邊,否,1
2026,2026-04-04,2026-04-04,4,2026 A.C.F 秋葉原動漫祭 上坂堇聲優見面會,FMT,上坂堇,Pastel＊Palettes／白鷺千聖,擦邊,否,1
2026,2026-04-07,2026-04-16,4,BanG Dream! Special LIVE 台北限定快閃店,快閃店,—,BanG Dream!,本體,否,0
2026,2026-04-11,2026-04-11,4,"BanG Dream! Special LIVE in TAIPEI DAY1：MyGO!!!!! × Ave Mujica「""moment / memory""」",LIVE,羊宮妃那、立石凜、小日向美香、林鼓子、青木陽菜、佐佐木李子、渡瀨結月、岡田夢以、高尾奏音、米澤茜,MyGO!!!!!、Ave Mujica,本體,是,10
2026,2026-04-12,2026-04-12,4,BanG Dream! Special LIVE in TAIPEI DAY2：Poppin'Party × Roselia「DREAMS GO ON」,LIVE,愛美、伊藤彩沙、大橋彩香、西本里美、大塚紗英、相羽あいな、工藤晴香、中島由貴、櫻川惠、志崎樺音,Poppin'Party、Roselia,本體,是,10
2026,2026-04-25,2026-04-25,4,AIMI LIVE TOUR “NEW WORLD” 台北公演,LIVE,愛美,Poppin'Party／戶山香澄,擦邊,否,1
2026,2026-05-09,2026-05-10,5,WCS TAIWAN 2026 小澤亞李見面會,FMT,小澤亞李,Pastel＊Palettes／冰川日菜,擦邊,否,1
2026,2026-05-10,2026-05-10,5,ANISAMA in TAIPEI 2026 -DOSHA!-,LIVE／音樂祭,佐佐木李子,Ave Mujica／三角初華,擦邊,否,1
2026,2026-07-12,2026-07-12,7,Kanon Shizaki Fan Meeting “NON” Stop XI in Taipei,FMT,志崎樺音,Roselia／白金燐子,擦邊,否,1
2026,2026-08-01,2026-08-02,8,小日向美香のひなたぼっこ。～台北出差版 with 櫻川めぐ,公錄／LIVE／FMT,小日向美香、櫻川惠,MyGO!!!!!、Roselia,擦邊,否,2
2026,2026-08-08,2026-08-09,8,Ave Mujica LIVE TOUR 2026「Exitus」台北追加公演,LIVE,佐佐木李子、渡瀨結月、岡田夢以、高尾奏音、米澤茜,Ave Mujica,本體,是,5
2026,2026-08-15,2026-08-15,8,反田葉月 1st LIVE tour「全力Melty Summer!!!」特別篇 台北公演,LIVE,反田葉月,Ave Mujica／sumimi／純田真奈,擦邊,否,1
2026,2026-09-??,2026-09-??,9,林鼓子粉絲見面會（暫）台北,FMT,林鼓子,MyGO!!!!!／椎名立希,擦邊,否,1